Name,Reopening Plan,
Edinboro University of PennsylvaniaErie County? PA,Primarily online,
Rider UniversityMercer County? NJ,Primarily online,
Lake-Sumter State CollegeLake County? FL,Primarily online,
Harrisburg University of Science and TechnologyDauphin County? PA,Fully online,
Lincoln Memorial UniversityClaiborne County? TN,Primarily in person,
Endicott CollegeEssex County? MA,Primarily in person,
Wiregrass Georgia Technical CollegeLowndes County? GA,Fully in person,
Kent State University-StarkStark County? OH,Primarily online,
Dallas Baptist UniversityDallas County? TX,Hybrid,
Hennepin Technical CollegeHennepin County? MN,Primarily online,
Gadsden State Community CollegeEtowah County? AL,Hybrid,
Northshore Technical Community College Sullivan CampusSt. Tammany Parish? LA,Primarily in person,
State Fair Community CollegePettis County? MO,Primarily online,
University of Mary WashingtonFredericksburg City? VA,Primarily online,
University of South Florida at St. PetersburgPinellas County? FL,Hybrid,
Indiana Institute of Technology-College of Professions StudiesAllen County? IN,Primarily online,
Providence CollegeProvidence County? RI,Fully online,
College of the MainlandGalveston County? TX,Primarily online,
State University of New York at FredoniaChautauqua County? NY,Hybrid,
Olivet Nazarene UniversityKankakee County? IL,Primarily in person,
Merrimack CollegeEssex County? MA,Hybrid,
Southern Regional Technical CollegeThomas County? GA,Hybrid,
West Hills College Coalinga (Calif.)Fresno County? CA,Primarily online,
Lipscomb UniversityDavidson County? TN,Primarily in person,
Coastal Bend CollegeBee County? TX,Fully online,
Catawba Valley Community CollegeCatawba County? NC,Hybrid,
George C. Wallace Community College at Dothan (AlaDale County? AL,Other,
University of RedlandsSan Bernardino County? CA,Fully online,
WSU Campus of Applied Sciences and TechnologySedgwick County? KS,Hybrid,
Point Loma Nazarene UniversitySan Diego County? CA,Hybrid,
Delaware State UniversityKent County? DE,Primarily online,
Lake Land CollegeColes County? IL,Hybrid,
University of Illinois at SpringfieldSangamon County? IL,Primarily online,
Emerson CollegeSuffolk County? MA,Hybrid,
College of the RedwoodsHumboldt County? CA,Primarily online,
Athens Technical CollegeClarke County? GA,Primarily in person,
Southeastern Oklahoma State UniversityBryan County? OK,Hybrid,
Spartanburg Community CollegeSpartanburg County? SC,Primarily online,
Champlain CollegeChittenden County? VT,Hybrid,
University of Arkansas-Pulaski Technical CollegePulaski County? AR,Fully in person,
Southern Union State Community CollegeRandolph County? AL,Hybrid,
Baltimore City Community CollegeBaltimore City? MD,Fully online,
Crowder CollegeNewton County? MO,Primarily online,
Wentworth Institute of TechnologySuffolk County? MA,Hybrid,
Wayland Baptist UniversityHale County? TX,Primarily in person,
Jones CollegeJones County? MS,Primarily online,
Piedmont Technical CollegeGreenwood County? SC,Hybrid,
Howard CollegeHoward County? TX,Hybrid,
Southcentral Kentucky Community & Technical CollegeWarren County? KY,Hybrid,
Jamestown Community CollegeChautauqua County? NY,Primarily online,
Southern Arkansas UniversityColumbia County? AR,Undetermined,
Moraine Park Technical CollegeFond du Lac County? WI,Primarily in person,
Yakima Valley Community CollegeYakima County? WA,Primarily online,
Pierce College DistrictPierce County? WA,Undetermined,
Northeast Iowa Community CollegeWinneshiek County? IA,Primarily in person,
Hill CollegeHill County? TX,Primarily online,
Arizona State University-WestMaricopa County? AZ,Primarily online,
Bates Technical CollegePierce County? WA,Primarily online,
Jefferson CollegeJefferson County? MO,Primarily online,
New River Community CollegePulaski County? VA,Primarily online,
Alabama State UniversityMontgomery County? AL,Hybrid,
Augusta Technical CollegeRichmond County? GA,Hybrid,
Upper Iowa UniversityFayette County? IA,Primarily in person,
Virginia State UniversityChesterfield County? VA,Fully online,
California Lutheran UniversityVentura County? CA,Primarily online,
Big Sandy Community and Technical CollegeFloyd County? KY,Primarily in person,
Grayson CollegeGrayson County? TX,Hybrid,
Massachusetts Bay Community CollegeNorfolk County? MA,Fully online,
University of TulsaTulsa County? OK,Hybrid,
Morton CollegeCook County? IL,Primarily online,
Shelton State Community CollegeTuscaloosa County? AL,Primarily online,
Stetson UniversityVolusia County? FL,Hybrid,
University of Houston-VictoriaVictoria County? TX,Primarily online,
Black Hawk CollegeRock Island County? IL,Primarily online,
Roosevelt UniversityCook County? IL,Primarily online,
Saint Cloud Technical and Community CollegeStearns County? MN,Primarily online,
Hampton UniversityHampton City? VA,Fully online,
Trine UniversitySteuben County? IN,Primarily in person,
York College of PennsylvaniaYork County? PA,Hybrid,
Montana State University at BillingsYellowstone County? MT,Primarily in person,
Pennsylvania State University at Erie? The Behrend CollegeErie County? PA,Hybrid,
Brazosport CollegeBrazoria County? TX,Hybrid,
St. Edward's UniversityTravis County? TX,Hybrid,
University of Wisconsin-ParksideKenosha County? WI,Primarily online,
Fresno Pacific UniversityFresno County? CA,Fully online,
Gannon UniversityErie County? PA,Hybrid,
Abraham Baldwin Agricultural CollegeTift County? GA,Primarily online,
Cameron UniversityComanche County? OK,Primarily in person,
Porterville CollegeTulare County? CA,Primarily online,
University of PortlandMultnomah County? OR,Fully online,
Clarkson UniversitySt. Lawrence County? NY,Hybrid,
Inver Hills Community CollegeDakota County? MN,Primarily online,
Whatcom Community CollegeWhatcom County? WA,Primarily online,
Loyola University New OrleansOrleans Parish? LA,Primarily online,
York Technical CollegeYork County? SC,Primarily online,
Alamance Community CollegeAlamance County? NC,Primarily online,
Kellogg Community CollegeCalhoun County? MI,Primarily online,
Trinity Valley Community CollegeHenderson County? TX,Primarily in person,
University of the District of ColumbiaDistrict of Columbia? DC,Primarily online,
Texarkana CollegeBowie County? TX,Primarily in person,
West Hills College Lemoore (Calif.)Kings County? CA,Hybrid,
Barton County Community CollegeBarton County? KS,Primarily in person,
State University of New York College at PurchaseWestchester County? NY,Primarily online,
South Suburban College of Cook CountyCook County? IL,Fully online,
Manhattan CollegeBronx County? NY,Hybrid,
St. Thomas UniversityMiami-Dade County? FL,Primarily in person,
Jacksonville UniversityDuval County? FL,Primarily in person,
Santa Fe Community College (N.MSanta Fe County? NM,Primarily online,
Belhaven UniversityHinds County? MS,Primarily online,
Reading Area Community CollegeBerks County? PA,Primarily online,
Maysville Community and Technical CollegeMason County? KY,Hybrid,
Florence-Darlington Technical CollegeFlorence County? SC,Undetermined,
Northern Oklahoma CollegeKay County? OK,Hybrid,
Northern Wyoming Community College DistrictSheridan County? WY,Primarily in person,
Concordia University (Calif.)Orange County? CA,Primarily online,
Hagerstown Community CollegeWashington County? MD,Primarily online,
Cedarville UniversityGreene County? OH,Primarily in person,
University of Maine at AugustaKennebec County? ME,Primarily online,
Palo Verde CollegeRiverside County? CA,Hybrid,
St. Joseph's College-Long IslandSuffolk County? NY,Primarily online,
Point Park UniversityAllegheny County? PA,Hybrid,
Blue Ridge Community College (Va.)Augusta County? VA,Primarily online,
Laramie County Community CollegeLaramie County? WY,Primarily online,
Gateway Community and Technical CollegeBoone County? KY,Primarily online,
Hawaii Pacific UniversityHonolulu County? HI,Primarily in person,
Muskegon Community CollegeMuskegon County? MI,Primarily online,
Savannah State UniversityChatham County? GA,Undetermined,
South Mountain Community CollegeMaricopa County? AZ,Primarily online,
Mohave Community CollegeMohave County? AZ,Primarily online,
Oral Roberts UniversityTulsa County? OK,Hybrid,
Lanier Technical CollegeHall County? GA,Hybrid,
Central Virginia Community CollegeLynchburg City? VA,Primarily online,
Johnston Community CollegeJohnston County? NC,Hybrid,
College of Saint ScholasticaSt. Louis County? MN,Primarily online,
John A. Logan CollegeWilliamson County? IL,Hybrid,
Black Hills State UniversityLawrence County? SD,Fully in person,
Central Lakes CollegeCrow Wing County? MN,Primarily online,
Sandhills Community CollegeMoore County? NC,Primarily online,
Western Technical College (Wis.)La Crosse County? WI,Primarily online,
James A. Rhodes State CollegeAllen County? OH,Hybrid,
University of RichmondRichmond City? VA,Primarily in person,
East Mississippi Community CollegeKemper County? MS,Primarily online,
Three Rivers Community College (Conn.)New London County? CT,Primarily online,
Norwich UniversityWashington County? VT,Primarily in person,
College of Saint RoseAlbany County? NY,Hybrid,
Henderson State UniversityClark County? AR,Primarily online,
Indiana University NorthwestLake County? IN,Primarily online,
Fairmont State UniversityMarion County? WV,Hybrid,
Prairie State CollegeCook County? IL,Fully online,
George Fox UniversityYamhill County? OR,Primarily in person,
Owensboro Community and Technical CollegeDaviess County? KY,Primarily online,
Francis Marion UniversityFlorence County? SC,Primarily in person,
Pacific UniversityWashington County? OR,Primarily in person,
University of St. Francis (IllWill County? IL,Primarily in person,
Trevecca Nazarene UniversityDavidson County? TN,Primarily in person,
Iona CollegeWestchester County? NY,Primarily online,
Indian Hills Community CollegeWapello County? IA,Primarily online,
Clark Atlanta UniversityFulton County? GA,Fully online,
Clover Park Technical CollegePierce County? WA,Primarily online,
Tunxis Community CollegeHartford County? CT,Hybrid,
Mendocino CollegeMendocino County? CA,Primarily online,
University of Mary Hardin-BaylorBell County? TX,Primarily in person,
Saint Mary's College of CaliforniaContra Costa County? CA,Primarily online,
Coastal Carolina Community CollegeOnslow County? NC,Primarily online,
Central Methodist University? College of Graduate and Extended StudiesHoward County? MO,Primarily online,
Victoria CollegeVictoria County? TX,Primarily online,
Walla Walla Community CollegeWalla Walla County? WA,Hybrid,
Savannah Technical CollegeChatham County? GA,Undetermined,
Shenandoah UniversityWinchester City? VA,Hybrid,
Louisiana Delta Community CollegeOuachita Parish? LA,Hybrid,
Mid Michigan Community CollegeClare County? MI,Primarily online,
University of MaryBurleigh County? ND,Primarily in person,
Bryant UniversityProvidence County? RI,Primarily in person,
Valparaiso UniversityPorter County? IN,Primarily in person,
Western New England UniversityHampden County? MA,Primarily in person,
Bismarck State CollegeBurleigh County? ND,Primarily in person,
Cayuga Community CollegeCayuga County? NY,Primarily in person,
Bethune-Cookman UniversityVolusia County? FL,Primarily online,
Niagara UniversityNiagara County? NY,Fully in person,
The CitadelCharleston County? SC,Primarily in person,
University of North Carolina at AshevilleBuncombe County? NC,Primarily online,
Husson UniversityPenobscot County? ME,Primarily online,
University of North Texas at DallasDallas County? TX,Primarily online,
Pennsylvania State University at AbingtonMontgomery County? PA,Hybrid,
Bevill State Community CollegeWalker County? AL,Primarily online,
Alfred State CollegeAllegany County? NY,Primarily in person,
Calvin CollegeKent County? MI,Primarily in person,
Northwestern Michigan CollegeGrand Traverse County? MI,Primarily in person,
State University of New York AdirondackWarren County? NY,Primarily online,
Mount Wachusett Community CollegeWorcester County? MA,Fully online,
Indiana University EastWayne County? IN,Hybrid,
Coconino Community CollegeCoconino County? AZ,Hybrid,
Delta State UniversityBolivar County? MS,Primarily in person,
St. John Fisher CollegeMonroe County? NY,Primarily in person,
Baldwin Wallace UniversityCuyahoga County? OH,Primarily in person,
Palm Beach Atlantic UniversityPalm Beach County? FL,Primarily in person,
University of South Carolina at AikenAiken County? SC,Hybrid,
Bethel University (Minn.)Ramsey County? MN,Primarily in person,
West Virginia State UniversityKanawha County? WV,Hybrid,
Wingate UniversityUnion County? NC,Primarily in person,
Seattle Pacific UniversityKing County? WA,Hybrid,
Lewis-Clark State CollegeNez Perce County? ID,Primarily in person,
Edison State Community CollegeMiami County? OH,Primarily online,
Cochise CollegeCochise County? AZ,Hybrid,
Lake Washington Institute of TechnologyKing County? WA,Primarily online,
Bucknell UniversityUnion County? PA,Primarily in person,
Saint Xavier UniversityCook County? IL,Primarily in person,
Woodland Community CollegeYolo County? CA,Primarily in person,
Gordon State College (Ga.)Lamar County? GA,Hybrid,
Arcadia UniversityMontgomery County? PA,Primarily online,
Ohio Christian UniversityPickaway County? OH,Primarily in person,
Alcorn State UniversityClaiborne County? MS,Primarily online,
Davidson County Community CollegeDavidson County? NC,Primarily in person,
Casper CollegeNatrona County? WY,Fully in person,
St. Mary's University (TexBexar County? TX,Primarily online,
Shepherd University at Shepherdstown (W.VJefferson County? WV,Primarily in person,
School of the Art Institute of ChicagoCook County? IL,Fully online,
Wayne State CollegeWayne County? NE,Fully in person,
Rogers State UniversityRogers County? OK,Primarily in person,
University of Northwestern at St. Paul (MinnRamsey County? MN,Primarily in person,
Stevenson UniversityBaltimore County? MD,Fully online,
Gardner-Webb UniversityCleveland County? NC,Primarily in person,
Marian University (Ind.)Marion County? IN,Primarily in person,
University of Florida-OnlineAlachua County? FL,Fully online,
Caldwell Community College and Technical InstituteCaldwell County? NC,Primarily in person,
East Central University (Oklahoma)Pontotoc County? OK,Undetermined,
Atlanta Technical CollegeFulton County? GA,Primarily online,
John Carroll UniversityCuyahoga County? OH,Fully online,
Ulster County Community CollegeUlster County? NY,Primarily online,
Central Carolina Technical CollegeSumter County? SC,Primarily online,
College of Coastal GeorgiaGlynn County? GA,Fully in person,
Madisonville Community CollegeHopkins County? KY,Primarily online,
Renton Technical CollegeKing County? WA,Fully online,
Keene State CollegeCheshire County? NH,Hybrid,
University of Hawaii Honolulu Community CollegeHonolulu County? HI,Hybrid,
St. Clair County Community CollegeSt. Clair County? MI,Primarily online,
Northwest-Shoals Community CollegeColbert County? AL,Hybrid,
Hamline UniversityRamsey County? MN,Primarily in person,
State University of New York College at PotsdamSt. Lawrence County? NY,Primarily online,
Northeast Mississippi Community CollegePrentiss County? MS,Primarily in person,
Quincy CollegeNorfolk County? MA,Primarily online,
Northland Community and Technical CollegePennington County? MN,Primarily online,
Warren County Community CollegeWarren County? NJ,Fully online,
Meridian Community CollegeLauderdale County? MS,Primarily online,
Northern State UniversityBrown County? SD,Fully in person,
Fairleigh Dickinson University College at Florham (N.JMorris County? NJ,Primarily online,
New Hampshire Technical Institute-Concord's Community CollegeMerrimack County? NH,Primarily online,
River Parishes Community CollegeAscension Parish? LA,Undetermined,
Coastal Pines Technical CollegeWare County? GA,Hybrid,
Hocking CollegeAthens County? OH,Primarily online,
Sowela Technical Community CollegeCalcasieu Parish? LA,Primarily in person,
Saint Peter's UniversityHudson County? NJ,Fully online,
Great Basin CollegeElko County? NV,Primarily online,
Arkansas State University at BeebeWhite County? AR,Hybrid,
Bay Path UniversityHampden County? MA,Primarily online,
Wenatchee Valley CollegeChelan County? WA,Fully online,
Central Ohio Technical CollegeLicking County? OH,Primarily online,
DeSales UniversityLehigh County? PA,Hybrid,
Spring Arbor UniversityJackson County? MI,Primarily in person,
Houston Baptist UniversityHarris County? TX,Hybrid,
Southside Virginia Community CollegeBrunswick County? VA,Hybrid,
Anderson University (S.CAnderson County? SC,Primarily in person,
Elmhurst CollegeDuPage County? IL,Hybrid,
Corning Community CollegeSteuben County? NY,Hybrid,
University of Northwestern OhioAllen County? OH,Primarily online,
Augsburg UniversityHennepin County? MN,Primarily online,
Lock Haven UniversityClinton County? PA,Primarily online,
Marymount UniversityArlington County? VA,Hybrid,
Charleston Southern UniversityCharleston County? SC,Primarily online,
Andrews UniversityBerrien County? MI,Primarily in person,
University of Hawaii at HiloHawaii County? HI,Primarily online,
Goodwin CollegeHartford County? CT,Primarily online,
Lewis & Clark CollegeMultnomah County? OR,Hybrid,
Cascadia CollegeKing County? WA,Primarily online,
Florida Gateway CollegeColumbia County? FL,Hybrid,
Dakota State UniversityLake County? SD,Fully in person,
Messiah CollegeCumberland County? PA,Hybrid,
Cisco CollegeEastland County? TX,Primarily online,
Georgia Piedmont Technical CollegeDeKalb County? GA,Primarily online,
Newman UniversitySedgwick County? KS,Fully in person,
Bellarmine UniversityJefferson County? KY,Hybrid,
Minnesota West Community and Technical CollegeYellow Medicine County? MN,Primarily online,
Southwest Baptist UniversityPolk County? MO,Primarily in person,
Babson CollegeNorfolk County? MA,Primarily online,
Le Moyne CollegeOnondaga County? NY,Primarily in person,
Carroll UniversityWaukesha County? WI,Primarily in person,
Western Nevada CollegeCarson City? NV,Primarily online,
Evergreen State CollegeThurston County? WA,Primarily online,
Fort Lewis CollegeLa Plata County? CO,Primarily in person,
Southeast Kentucky Community and Technical CollegeHarlan County? KY,Primarily online,
Kishwaukee CollegeDeKalb County? IL,Undetermined,
Butler County Community College (Pa.)Butler County? PA,Primarily in person,
Columbus Technical CollegeMuscogee County? GA,Primarily in person,
Ridgewater CollegeKandiyohi County? MN,Primarily online,
Capital Community CollegeHartford County? CT,Primarily in person,
Jefferson Community CollegeJefferson County? NY,Primarily online,
Lawson State Community CollegeJefferson County? AL,Primarily online,
Lamar Institute of TechnologyJefferson County? TX,Fully in person,
Cleveland State Community CollegeBradley County? TN,Hybrid,
Riverland Community CollegeMower County? MN,Primarily online,
Eastern UniversityDelaware County? PA,Primarily in person,
Shawnee State UniversityScioto County? OH,Hybrid,
Western New Mexico UniversityGrant County? NM,Primarily online,
Union UniversityMadison County? TN,Primarily in person,
Pennsylvania State University at AltoonaBlair County? PA,Hybrid,
Canisius CollegeErie County? NY,Primarily in person,
Wayne Community CollegeWayne County? NC,Primarily online,
State University of New York College of Technology at DelhiDelaware County? NY,Primarily online,
Louisiana State University at EuniceAcadia Parish? LA,Primarily in person,
Xavier University of LouisianaOrleans Parish? LA,Primarily in person,
University of St. Thomas (TexHarris County? TX,Hybrid,
Siena CollegeAlbany County? NY,Primarily in person,
Wesleyan University (Conn.)Middlesex County? CT,Hybrid,
State University of New York College of Technology at CantonSt. Lawrence County? NY,Hybrid,
Capital UniversityFranklin County? OH,Primarily online,
University of Mount OliveWayne County? NC,Primarily online,
Pacific Lutheran UniversityPierce County? WA,Hybrid,
Lake Michigan CollegeBerrien County? MI,Hybrid,
University of Maryland-Eastern ShoreSomerset County? MD,Primarily in person,
Minot State UniversityWard County? ND,Primarily in person,
Indiana Wesleyan UniversityGrant County? IN,Primarily in person,
Hazard Community and Technical CollegePerry County? KY,Primarily online,
Western Wyoming Community CollegeSweetwater County? WY,Primarily in person,
Northland Pioneer CollegeNavajo County? AZ,Primarily online,
Albany Technical CollegeDougherty County? GA,Fully online,
Faulkner UniversityMontgomery County? AL,Primarily in person,
Northwood University (Mich.)Midland County? MI,Fully in person,
Brigham Young University-HawaiiHonolulu County? HI,Fully online,
LeTourneau UniversityGregg County? TX,Primarily in person,
Centralia CollegeLewis County? WA,Primarily online,
Kaskaskia CollegeClinton County? IL,Primarily online,
Louisiana State University at AlexandriaRapides Parish? LA,Primarily in person,
Mitchell Community CollegeIredell County? NC,Primarily online,
Florida Southern CollegePolk County? FL,Fully online,
American International CollegeHampden County? MA,Primarily online,
Our Lady of the Lake UniversityBexar County? TX,Primarily in person,
Hope CollegeOttawa County? MI,Primarily in person,
Rockhurst UniversityJackson County? MO,Primarily online,
Southeastern Baptist Theological SeminaryWake County? NC,Primarily in person,
Springfield College (Mass.)Hampden County? MA,Primarily in person,
City Colleges of Chicago? Kennedy-King CollegeCook County? IL,Primarily online,
University of Hawaii-West OahuHonolulu County? HI,Primarily online,
Rollins CollegeOrange County? FL,Hybrid,
Indiana University at KokomoHoward County? IN,Primarily online,
Clark UniversityWorcester County? MA,Hybrid,
University of Arkansas at MonticelloDrew County? AR,Hybrid,
Adams State UniversityAlamosa County? CO,Hybrid,
Highland Community College (Kan.)Doniphan County? KS,Primarily in person,
Clovis Community College (N.M)Curry County? NM,Primarily online,
Copiah-Lincoln Community CollegeCopiah County? MS,Primarily online,
Lynn University (Fla.)Palm Beach County? FL,Primarily in person,
University of Hawaii Maui CollegeMaui County? HI,Primarily online,
Northeast Texas Community CollegeTitus County? TX,Primarily in person,
Holy Family UniversityPhiladelphia County? PA,Hybrid,
Moody Bible InstituteCook County? IL,Primarily online,
Rappahannock Community CollegeGloucester County? VA,Primarily online,
University of LynchburgLynchburg City? VA,Fully online,
Three Rivers College (Mo.)Butler County? MO,Fully in person,
Surry Community CollegeSurry County? NC,Primarily online,
Central Maine Community CollegeAndroscoggin County? ME,Primarily online,
Hult International Business School at BostonMiddlesex County? MA,Hybrid,
Vance-Granville Community CollegeVance County? NC,Primarily online,
Gwynedd Mercy UniversityMontgomery County? PA,Primarily online,
Nash Community CollegeNash County? NC,Hybrid,
Vernon CollegeWilbarger County? TX,Primarily in person,
Barstow Community CollegeSan Bernardino County? CA,Fully online,
Carroll Community CollegeCarroll County? MD,Primarily online,
St. Olaf CollegeRice County? MN,Primarily in person,
Tiffin UniversitySeneca County? OH,Primarily in person,
St. Ambrose UniversityScott County? IA,Primarily in person,
D'Youville CollegeErie County? NY,Hybrid,
Madonna UniversityWayne County? MI,Primarily in person,
Lander UniversityGreenwood County? SC,Hybrid,
Ohio Northern UniversityHardin County? OH,Primarily in person,
New Mexico Highlands UniversitySan Miguel County? NM,Primarily online,
Western State Colorado UniversityGunnison County? CO,Primarily in person,
Franciscan University of SteubenvilleJefferson County? OH,Primarily in person,
Tuskegee UniversityMacon County? AL,Hybrid,
Wor-Wic Community CollegeWicomico County? MD,Hybrid,
State University of New York Polytechnic InstituteOneida County? NY,Primarily online,
South Carolina State UniversityOrangeburg County? SC,Hybrid,
University of Cincinnati-Clermont CollegeClermont County? OH,Hybrid,
Bob Jones UniversityGreenville County? SC,Fully in person,
Craven Community CollegeCraven County? NC,Primarily online,
Truett McConnell UniversityWhite County? GA,Fully in person,
Cape Cod Community CollegeBarnstable County? MA,Hybrid,
North Iowa Area Community CollegeCerro Gordo County? IA,Other,
Dominican UniversityCook County? IL,Hybrid,
Culinary Institute of AmericaDutchess County? NY,Primarily in person,
Nazareth College of Rochester (N.YMonroe County? NY,Hybrid,
State University of New York at MorrisvilleMadison County? NY,Hybrid,
Eastern Oregon UniversityUnion County? OR,Primarily in person,
Dyersburg State Community CollegeDyer County? TN,Primarily online,
Colgate UniversityMadison County? NY,Hybrid,
Mount Saint Mary's University (Calif.)Los Angeles County? CA,Hybrid,
Chicago State UniversityCook County? IL,Primarily online,
North Central State CollegeRichland County? OH,Primarily online,
Lakeshore Technical CollegeManitowoc County? WI,Primarily online,
Wisconsin Indianhead Technical CollegeWashburn County? WI,Primarily online,
Illinois Valley Community CollegeLaSalle County? IL,Hybrid,
North Dakota State College of ScienceRichland County? ND,Primarily online,
Furman UniversityGreenville County? SC,Hybrid,
Wheaton College (Ill.)DuPage County? IL,Hybrid,
East Georgia State CollegeEmanuel County? GA,Primarily in person,
Southern Adventist UniversityHamilton County? TN,Fully in person,
College of the Holy CrossWorcester County? MA,Fully online,
Cumberland County CollegeCumberland County? NJ,Undetermined,
North Central CollegeDuPage County? IL,Primarily in person,
Monroe County Community CollegeMonroe County? MI,Primarily online,
Lawrence Technological UniversityOakland County? MI,Primarily online,
South Florida State CollegeHighlands County? FL,Other,
Georgia Southwestern State UniversitySumter County? GA,Primarily in person,
Edward Waters CollegeDuval County? FL,Primarily online,
Smith CollegeHampshire County? MA,Fully online,
North Park UniversityCook County? IL,Primarily in person,
Otterbein UniversityFranklin County? OH,Primarily online,
Mineral Area CollegeSt. Francois County? MO,Hybrid,
Northeast Alabama Community CollegeJackson County? AL,Primarily online,
Ohio State University at NewarkLicking County? OH,Hybrid,
Carthage CollegeKenosha County? WI,Primarily in person,
Bishop State Community CollegeMobile County? AL,Fully online,
College of New Rochelle (N.YWestchester County? NY,Hybrid,
Marywood UniversityLackawanna County? PA,Hybrid,
South Piedmont Community CollegeAnson County? NC,Primarily online,
Brenau UniversityHall County? GA,Primarily in person,
Danville Community CollegeDanville City? VA,Undetermined,
Kankakee Community CollegeKankakee County? IL,Primarily online,
Milwaukee School of EngineeringMilwaukee County? WI,Hybrid,
Lower Columbia CollegeCowlitz County? WA,Primarily online,
Oberlin CollegeLorain County? OH,Primarily online,
University of Minnesota at CrookstonPolk County? MN,Hybrid,
Midwestern Baptist Theological SeminaryClay County? MO,Hybrid,
Alvernia UniversityBerks County? PA,Primarily in person,
Randolph Community CollegeRandolph County? NC,Hybrid,
McDaniel CollegeCarroll County? MD,Primarily online,
Walsh UniversityStark County? OH,Primarily in person,
Wabash Valley CollegeWabash County? IL,Primarily in person,
Embry-Riddle Aeronautical University at Prescott (Ariz.)Yavapai County? AZ,Fully in person,
Whitworth UniversitySpokane County? WA,Primarily in person,
Fort Valley State UniversityPeach County? GA,Primarily in person,
Oklahoma City UniversityOklahoma County? OK,Primarily in person,
Baker UniversityDouglas County? KS,Primarily in person,
Panola CollegePanola County? TX,Primarily in person,
New England Institute of TechnologyKent County? RI,Primarily online,
Regis CollegeMiddlesex County? MA,Primarily online,
United Talmudical SeminaryKings County? NY,Other,
Hopkinsville Community CollegeChristian County? KY,Hybrid,
Life UniversityCobb County? GA,Other,
South Central CollegeNicollet County? MN,Primarily online,
Sul Ross State UniversityBrewster County? TX,Primarily in person,
Coppin State UniversityBaltimore City? MD,Hybrid,
Mississippi University for WomenLowndes County? MS,Primarily online,
Umpqua Community CollegeDouglas County? OR,Primarily online,
Lenoir-Rhyne UniversityCatawba County? NC,Primarily in person,
Morningside CollegeWoodbury County? IA,Primarily in person,
Lenoir Community CollegeLenoir County? NC,Hybrid,
Mid-State Technical CollegeWood County? WI,Primarily online,
Central Louisiana Technical Community CollegeRapides Parish? LA,Primarily in person,
Mercyhurst UniversityErie County? PA,Hybrid,
University of Puget SoundPierce County? WA,Fully online,
Cowley County Community CollegeCowley County? KS,Primarily in person,
City Colleges of Chicago? Olive-Harvey CollegeCook County? IL,Primarily online,
Lassen Community CollegeLassen County? CA,Other,
Pennsylvania Highlands Community CollegeCambria County? PA,Primarily online,
South Dakota School of Mines and TechnologyPennington County? SD,Hybrid,
Miami University at Hamilton (Ohio)Butler County? OH,Primarily online,
Southern University at Shreveport (La.)Caddo Parish? LA,Other,
Salve Regina UniversityNewport County? RI,Primarily in person,
Lafayette CollegeNorthampton County? PA,Fully online,
Trinity UniversityBexar County? TX,Hybrid,
Sage CollegesRensselaer County? NY,Hybrid,
University of Hawaii Hawaii Community CollegeHawaii County? HI,Primarily online,
East Central CollegeFranklin County? MO,Primarily in person,
Chicago School of Professional Psychology at Los AngelesLos Angeles County? CA,Fully online,
University of CharlestonKanawha County? WV,Primarily in person,
Danville Area Community CollegeVermilion County? IL,Hybrid,
Alexandria Technical and Community CollegeDouglas County? MN,Primarily in person,
Skidmore CollegeSaratoga County? NY,Hybrid,
North Georgia Technical CollegeHabersham County? GA,Hybrid,
University of MontevalloShelby County? AL,Primarily in person,
Saint Francis University (Pa.)Cambria County? PA,Hybrid,
Middlebury CollegeAddison County? VT,Hybrid,
Flager College at St. Augustine (FlaSt. Johns County? FL,Hybrid,
University of Wisconsin at SuperiorDouglas County? WI,Primarily online,
East Central Community CollegeNewton County? MS,Primarily in person,
Wilkes Community CollegeWilkes County? NC,Primarily online,
University of Pittsburgh at JohnstownCambria County? PA,Primarily online,
Neumann UniversityDelaware County? PA,Primarily online,
Viterbo UniversityLa Crosse County? WI,Primarily in person,
Johnson State CollegeLamoille County? VT,Primarily in person,
Lindsey Wilson CollegeAdair County? KY,Primarily in person,
Allegany College of MarylandAllegany County? MD,Hybrid,
Curry CollegeNorfolk County? MA,Primarily in person,
University of Arkansas at Pine BluffJefferson County? AR,Primarily online,
Pennsylvania State University-BerksBerks County? PA,Hybrid,
North Greenville UniversityGreenville County? SC,Primarily in person,
Manchester Community College (N.HHillsborough County? NH,Primarily online,
Daemen CollegeErie County? NY,Primarily online,
King's College (Pa.)Luzerne County? PA,Primarily in person,
Concordia University TexasTravis County? TX,Hybrid,
Misericordia UniversityLuzerne County? PA,Primarily in person,
Barnard CollegeNew York County? NY,Fully online,
Carson-Newman UniversityJefferson County? TN,Primarily in person,
College of the AlbemarlePasquotank County? NC,Primarily online,
Stonehill CollegeBristol County? MA,Hybrid,
Richmond Community CollegeRichmond County? NC,Hybrid,
Cleveland Community CollegeCleveland County? NC,Fully in person,
Southeastern Community College (Iowa)Des Moines County? IA,Primarily in person,
Middlesex Community College (Conn.)Middlesex County? CT,Primarily in person,
Stanly Community CollegeStanly County? NC,Primarily online,
Augustana College (Ill.)Rock Island County? IL,Primarily in person,
University of DallasDallas County? TX,Hybrid,
Ashland Community and Technical CollegeBoyd County? KY,Primarily online,
Allen County Community CollegeAllen County? KS,Primarily online,
Queens University of CharlotteMecklenburg County? NC,Fully online,
Wellesley CollegeNorfolk County? MA,Primarily online,
