niche_name,percent_female,percent_male,self_republican,self_democratic,self_indep,self_other,self_dont_care,school_very_liberal,school_liberal,school_moderate,school_conservative,school_very_conservative,school_libertarian,school_not_sure
University of Illinois at Chicago,52%,48%,8%,50%,16%,n/a,26%,14%,33%,17%,2%,n/a,1%,32%
Strayer University - Virginia,42%,58%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Western New England University,37%,63%,13%,35%,17%,n/a,35%,5%,5%,23%,7%,n/a,n/a,60%
Saint John's University - Minnesota,0%,100%,8%,67%,17%,n/a,8%,8%,24%,28%,16%,n/a,n/a,24%
Rust College,60%,40%,25%,25%,25%,n/a,25%,8%,8%,8%,31%,n/a,n/a,46%
Purdue University Global - Davenport Campus,71%,29%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
College of Saint Benedict,100%,0%,13%,44%,13%,6%,25%,n/a,26%,29%,11%,3%,n/a,32%
Kean University,60%,40%,6%,39%,6%,n/a,49%,6%,21%,16%,6%,1%,n/a,49%
Allegheny College,55%,45%,18%,76%,n/a,n/a,6%,18%,59%,13%,2%,n/a,n/a,9%
Davidson College,48%,52%,13%,25%,13%,25%,25%,8%,16%,52%,12%,n/a,4%,8%
University of Massachusetts - Dartmouth,48%,52%,7%,34%,24%,5%,29%,7%,27%,20%,3%,n/a,2%,42%
New Jersey Institute of Technology,24%,76%,4%,44%,18%,n/a,33%,4%,22%,24%,n/a,n/a,n/a,50%
Cleveland State University,52%,48%,14%,33%,22%,5%,26%,8%,25%,18%,2%,1%,2%,46%
Mercer University,60%,40%,19%,26%,32%,4%,19%,n/a,20%,28%,20%,1%,1%,29%
Chicago State University,66%,34%,6%,71%,12%,n/a,12%,12%,28%,19%,5%,2%,n/a,35%
Roosevelt University,66%,34%,4%,60%,16%,8%,12%,24%,40%,14%,7%,n/a,n/a,16%
University of New Haven,54%,46%,9%,33%,15%,2%,40%,7%,19%,19%,4%,1%,n/a,50%
University of Portland,60%,40%,9%,48%,4%,4%,35%,7%,33%,26%,9%,n/a,n/a,24%
Bates College,50%,50%,14%,50%,29%,n/a,7%,15%,54%,31%,n/a,n/a,n/a,n/a
Lamar University,56%,44%,32%,22%,16%,4%,26%,6%,13%,26%,8%,5%,1%,42%
Oglethorpe University,58%,42%,16%,37%,26%,n/a,21%,9%,44%,21%,3%,n/a,n/a,24%
Henderson State University,56%,44%,23%,18%,36%,n/a,23%,n/a,27%,24%,7%,2%,n/a,39%
Stetson University,56%,44%,20%,40%,22%,2%,16%,6%,24%,31%,11%,n/a,n/a,27%
Scripps College,100%,0%,n/a,63%,13%,13%,13%,42%,42%,13%,n/a,n/a,4%,n/a
Southern Illinois University Edwardsville,52%,48%,22%,27%,9%,4%,38%,5%,17%,27%,3%,n/a,1%,47%
University of Texas - Health Science Center at San Antonio,70%,30%,25%,n/a,25%,n/a,50%,n/a,n/a,33%,11%,n/a,n/a,56%
Spalding University,69%,31%,17%,25%,25%,n/a,33%,11%,7%,26%,n/a,n/a,n/a,56%
Culver-Stockton College,48%,52%,9%,27%,18%,n/a,45%,n/a,6%,6%,13%,6%,6%,63%
Pennsylvania College of Technology,32%,68%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Seattle University,61%,39%,4%,54%,27%,n/a,15%,34%,42%,12%,4%,n/a,n/a,8%
Metropolitan State University of Denver,53%,47%,19%,31%,26%,3%,21%,8%,33%,25%,1%,n/a,2%,30%
Morehead State University,60%,40%,19%,47%,13%,3%,19%,2%,21%,38%,9%,n/a,n/a,31%
Middlebury College,53%,47%,8%,54%,31%,8%,n/a,16%,76%,5%,n/a,n/a,n/a,3%
Grinnell College,55%,45%,n/a,64%,18%,n/a,18%,76%,21%,n/a,n/a,n/a,n/a,3%
Columbus State University,60%,40%,36%,25%,8%,3%,28%,4%,13%,30%,4%,1%,n/a,46%
Dixie State University,57%,43%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
University of Wisconsin - River Falls,63%,37%,24%,29%,12%,6%,29%,3%,14%,28%,17%,n/a,n/a,39%
Tougaloo College,68%,32%,n/a,56%,11%,n/a,33%,18%,24%,n/a,6%,6%,n/a,47%
Lawrence University,54%,46%,14%,29%,33%,n/a,24%,29%,60%,2%,n/a,n/a,n/a,10%
Trinity University - Texas,53%,47%,19%,29%,48%,n/a,5%,14%,44%,28%,2%,5%,n/a,7%
Albion College,54%,46%,26%,30%,4%,n/a,39%,11%,32%,11%,14%,4%,n/a,29%
Adrian College,47%,53%,24%,29%,n/a,n/a,48%,6%,8%,22%,6%,n/a,n/a,58%
Reed College,54%,46%,n/a,38%,25%,25%,13%,78%,11%,n/a,n/a,n/a,n/a,11%
Lock Haven University,56%,44%,34%,28%,22%,n/a,16%,2%,20%,27%,4%,2%,n/a,45%
New College of Florida,62%,38%,n/a,54%,31%,15%,n/a,73%,18%,3%,n/a,3%,3%,n/a
George Mason University,50%,50%,10%,36%,29%,4%,22%,10%,35%,23%,1%,0%,1%,29%
Angelo State University,56%,44%,30%,14%,8%,n/a,48%,1%,8%,23%,27%,3%,1%,36%
Truman State University,59%,41%,11%,32%,29%,n/a,29%,13%,41%,18%,5%,n/a,n/a,23%
Muskingum University,52%,48%,17%,n/a,33%,n/a,50%,n/a,n/a,33%,33%,n/a,n/a,33%
Bemidji State University,53%,47%,13%,25%,6%,13%,44%,n/a,13%,19%,9%,n/a,n/a,59%
Elizabeth City State University,56%,44%,8%,31%,31%,8%,23%,6%,20%,20%,14%,n/a,n/a,40%
The Los Angeles Film School,27%,73%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
